Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cascading Select),Custom field (Effort),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Founder Sign-off),Custom field (Frustration),Custom field (Incorporated Version),Custom field (Iteration),Custom field (Link to play),Custom field (Morale),Custom field (Parent Link),Custom field (Peer Sign-off),Custom field (Phone Screen Feedback),Custom field (Phone Screen Score),Custom field (QA Completed On),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Notes status),Custom field (Testing Status),Custom field (Total Days Spent),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Prediction Group Records Not Fully Populated,AXON-1233,22803,,Bug,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,25/Oct/16 2:33 PM,28/Oct/16 9:29 AM,01/Nov/16 4:02 PM,,,Dataset DB,,,,0,,,,"Prediction groups need to have an empty dictionary for every date, in order to support incremental updates. Need to run one-time LINQPad scripts to make sure all existing groups work this way.",,,,,Write and execute scripts.;25/Oct/16 2:33 PM;jbledsoe;1800,Monitoring and re-testing.;28/Oct/16 9:29 AM;jbledsoe;1800,Monitoring and re-testing.;28/Oct/16 9:29 AM;jbledsoe;1800,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5400,,,0,5400,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00dqn:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Un-Mothball NBC Production Application,AXON-1115,22000,,Bug,Canceled,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,28/Sep/16 10:00 AM,17/Oct/16 9:26 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"It's been left alone for some time and is now in disrepair, so get it back to working order again.",,,,,Update application and upgrade database tables.;30/Sep/16 8:52 AM;jbledsoe;21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21600,,,0,21600,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00chr:,,,,,,,,,,Not started,,,"17/Oct/16 9:26 AM;jbledsoe;Going to build NBC in new Axon from scratch, integrating with their new system.",,,,,,,,,,,,,,,,,,
Daily Theoretical Dollars Not Calculating Correctly,AXON-1114,21901,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,27/Sep/16 2:14 PM,17/Oct/16 8:53 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,,,,Diagnose and fix.;27/Sep/16 2:15 PM;jbledsoe;19800,Double-check fixes and send email.;28/Sep/16 9:37 AM;jbledsoe;3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23400,,,0,23400,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ch3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Dummy Results Not Saving Properly,AXON-1092,21600,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,21/Sep/16 8:38 AM,23/Sep/16 8:43 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"Red Lady workflows are supposed to save naive forecasts for stores prior to actually executing BSTS to generate predictions. These naive forecasts are important to preserve the integrity of rolled up forecasts. These aren't being generated properly, however.",,gitlab,,,Diagnose & fix bug.;21/Sep/16 10:41 AM;jbledsoe;12600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12600,,,0,12600,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00caf:,,,,,,,,,,Not started,,2016-09-21 10:41:58.452,"21/Sep/16 10:41 AM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/c7dd2f192908a2d3469258e58602ae225ba9f4ed]:
'AXON-1092 - Ensure dummy predictions actually line up w/ real BSTS predictions.'",,,,,,,,,,,,,,,,,,
Red Lady Production Release Support,AXON-1044,21332,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,12/Sep/16 8:03 AM,12/Sep/16 10:50 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Help w/ diagnosing release issues, fixing bugs and moving the code into production.",,,,,"Bug fixes, email server support.;12/Sep/16 8:03 AM;jbledsoe;10800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,10800,,,3600,10800,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00btj:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Design Carlisle Integration,AXON-969,20411,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 11:21 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Dataset DB,,,,0,,,,Ensure that the Carlisle data will fit into our existing structures and design any changes necessary to make sure that conflicts/overlaps don't occur with Cedar data.,,,,,Review Carlisle data and design integration.;19/Aug/16 4:26 PM;jbledsoe;9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,9000,,,1800,9000,,,,,,,AXON-978,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00avj:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
"Date Filter Doesn't Affect Sales/Transaction Charts 2,3 and 4",AXON-946,20203,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,16/Aug/16 10:09 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"Changing the date filter only seems to change the first sales/transaction chart, as well as the profitability calculation. Other charts on the page appear to be unaffected.",,gitlab,,,Diagnose issue.;16/Aug/16 12:04 PM;jbledsoe;1800,Find and fix bug.;17/Aug/16 9:40 AM;jbledsoe;3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5400,,,0,5400,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00aof:,,,,,,,,,,Not started,,2016-08-16 13:55:10.877,"16/Aug/16 1:55 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/09ebac24086b1166e06ad56fa002de9dab7af71c]:
'AXON-946 - fixed root cause of date filter not affecting sales/transaction chart…'",,,,,,,,,,,,,,,,,,
Aggregate Causal Impact Metrics Not Computed Properly,AXON-948,20205,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,16/Aug/16 10:21 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"Seems that Relative Effect and Significant Relative Effect metrics for aggregate jobs aren't being computed properly. These metrics are not aggregated in the normal way; the aggregate jobs are created in which all metrics are rolled up, and then afterwards these metrics should calculated as follows:

Relative Effect = Absolute Effect / Total Results
Significant Relative Effect = Significant Absolute Effect / Total Results

For Cedar Enterprises, these numbers should be closer to 5% and 1% for Net Sales

 !image-2016-08-16-10-19-24-314.png|thumbnail! ",,gitlab,,,Diagnose issue.;16/Aug/16 12:05 PM;jbledsoe;1800,Find and fix bug.;17/Aug/16 9:41 AM;jbledsoe;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9000,,,0,9000,,,,,,,,,,,,,,,,,,16/Aug/16 10:19 AM;jbledsoe;image-2016-08-16-10-19-24-314.png;https://giresearch.atlassian.net/secure/attachment/16804/image-2016-08-16-10-19-24-314.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00aov:,,,,,,,,,,Not started,,2016-08-16 16:51:07.138,"16/Aug/16 4:51 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/f093736e86158cf8d132c07d04a0371969d11cdf]:
'AXON-948 - fix causal impact relative metrics for aggregate jobs'",,,,,,,,,,,,,,,,,,
Inconsistency Between Sales/Transactions Chart and Profitability Calculation,AXON-945,20202,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,16/Aug/16 10:07 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Looking at Cedar Enterprises for November 1 through 15, 2015

Net sales according to the profitability calculation are $13,661,661 ($3,950,067 + $9,711,594)
Sum of all Net Sales Actual on chart are $13,845,010

 !image-2016-08-16-10-07-33-596.png|thumbnail! ",,gitlab,,,Diagnose issue.;16/Aug/16 12:04 PM;jbledsoe;1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,16/Aug/16 10:07 AM;jbledsoe;image-2016-08-16-10-07-33-596.png;https://giresearch.atlassian.net/secure/attachment/16802/image-2016-08-16-10-07-33-596.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ao7:,,,,,,,,,,Not started,,2016-08-16 16:51:05.746,"16/Aug/16 4:51 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/0169c2dc50291d8990885f451d392b589ad3502b]:
'AXON-945 - fixed error in profitability calculation'",,,,,,,,,,,,,,,,,,
Create Product Demand Forecast UX,AXON-885,19533,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,edunne,edunne,edunne,28/Jul/16 2:14 PM,19/Aug/16 3:01 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,Begin layout;18/Aug/16 4:58 PM;edunne;10800,Done;19/Aug/16 2:48 PM;edunne;9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,19800,,,1800,19800,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i009qv:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
